리뷰ID,상품명,옵션명,별점,작성일,리뷰내용
DEMO-0186,하이웨스트 데님 팬츠,연청 / M,5,2026-05-05,라인이 예쁘고 다리가 길어 보여요. 상세페이지를 꼭 보고 사세요.
DEMO-0023,데일리 와이드 슬랙스,블랙 / S,4,2026-05-05,허리 밴딩이 편해서 오래 앉아 있어도 괜찮네요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0096,크롭 반팔 티셔츠,아이보리 / S,4,2026-05-04,팔 기장이 너무 짧지 않아서 부담 없이 입기 좋아요. 상세페이지를 꼭 보고 사세요.
DEMO-0119,크롭 반팔 티셔츠,핑크 / M,5,2026-05-04,디자인은 예쁜데 핑크가 사진보다 진하게 느껴져요. 다음에도 살 것 같아요.
DEMO-0289,베이직 롱 원피스,카키 / M,5,2026-05-04,라인이 깔끔하고 하나만 입어도 차려입은 느낌이에요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0240,루즈핏 후드 집업,멜란지 / M,4,2026-05-04,루즈핏이라 편하고 캐주얼하게 입기 좋습니다. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0028,데일리 와이드 슬랙스,블랙 / M,5,2026-05-04,색은 예쁜데 허리 사이즈가 애매해요. 상세 실측 꼭 보고 사세요. 다음에도 살 것 같아요.
DEMO-0097,크롭 반팔 티셔츠,핑크 / M,4,2026-05-03,크롭 기장이 딱 예쁘고 하이웨스트랑 잘 맞아요. 상세페이지를 꼭 보고 사세요.
DEMO-0138,세미오버핏 니트 가디건,블랙 / L,4,2026-05-03,두께감이 적당해서 간절기에 입기 좋습니다. 데일리로 입기 괜찮습니다.
DEMO-0259,루즈핏 후드 집업,멜란지 / L,5,2026-05-03,편하게 입기는 좋은데 사진보다 더 박시한 느낌이에요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0160,세미오버핏 니트 가디건,오트밀 / M,3,2026-05-02,부드럽고 예쁜데 보풀이 조금 생길 것 같아요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0265,루즈핏 후드 집업,블랙 / M,3,2026-05-02,지퍼 마감이 살짝 거칠어서 아쉽습니다.
DEMO-0150,세미오버핏 니트 가디건,오트밀 / M,5,2026-05-01,두께감이 적당해서 간절기에 입기 좋습니다. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0233,루즈핏 후드 집업,네이비 / L,5,2026-05-01,두께감이 적당해서 아침저녁에 걸치기 좋아요. 배송은 빨랐어요.
DEMO-0336,경량 숏패딩,블랙 / L,5,2026-05-01,출퇴근용으로 가볍게 입기 좋아요. 데일리로 입기 괜찮습니다.
DEMO-0148,세미오버핏 니트 가디건,크림 / M,5,2026-04-30,소재가 부드럽고 까슬거림이 거의 없어요. 포장은 깔끔했습니다.
DEMO-0174,세미오버핏 니트 가디건,블랙 / L,1,2026-04-30,세탁 후 모양이 변해서 아쉬웠습니다.
DEMO-0142,세미오버핏 니트 가디건,크림 / M,4,2026-04-29,소재가 부드럽고 까슬거림이 거의 없어요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0156,세미오버핏 니트 가디건,블랙 / L,4,2026-04-29,두께감이 적당해서 간절기에 입기 좋습니다. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0228,루즈핏 후드 집업,네이비 / L,5,2026-04-29,루즈핏이라 편하고 캐주얼하게 입기 좋습니다. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0212,하이웨스트 데님 팬츠,연청 / M,4,2026-04-28,핏은 정말 예쁜데 허리가 너무 딱 맞아요. 한 사이즈 크게 살 걸 그랬어요. 상세페이지를 꼭 보고 사세요.
DEMO-0173,세미오버핏 니트 가디건,크림 / M,3,2026-04-28,하루 입었는데 보풀이 바로 올라왔어요.
DEMO-0022,데일리 와이드 슬랙스,네이비 / L,4,2026-04-28,가격대비 만족해요. 재구매 의사 있습니다. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0002,데일리 와이드 슬랙스,네이비 / L,5,2026-04-28,와이드핏인데 너무 부해 보이지 않아서 마음에 들어요. 데일리로 입기 괜찮습니다.
DEMO-0014,데일리 와이드 슬랙스,베이지 / M,5,2026-04-28,가격대비 만족해요. 재구매 의사 있습니다.
DEMO-0360,경량 숏패딩,카키 / L,3,2026-04-28,가볍게 걸치는 용도에 가까워요. 포장은 깔끔했습니다.
DEMO-0261,루즈핏 후드 집업,네이비 / L,2,2026-04-27,후드는 예쁜데 어깨가 많이 내려와서 호불호 있을 듯합니다. 상세페이지를 꼭 보고 사세요.
DEMO-0133,크롭 반팔 티셔츠,핑크 / M,3,2026-04-26,아이보리가 생각보다 노란빛이 강해서 아쉬워요.
DEMO-0235,루즈핏 후드 집업,네이비 / L,5,2026-04-26,안감이 부드러워서 자주 입게 됩니다.
DEMO-0229,루즈핏 후드 집업,멜란지 / L,5,2026-04-25,안감이 부드러워서 자주 입게 됩니다.
DEMO-0034,데일리 와이드 슬랙스,네이비 / L,3,2026-04-25,색은 예쁜데 허리 사이즈가 애매해요. 상세 실측 꼭 보고 사세요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0195,하이웨스트 데님 팬츠,중청 / M,4,2026-04-24,가격대비 데님 퀄리티가 괜찮아요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0282,베이직 롱 원피스,브라운 / M,5,2026-04-24,비침이 거의 없고 촉감도 괜찮아요.
DEMO-0045,데일리 와이드 슬랙스,차콜 / M,3,2026-04-24,기본템으로는 괜찮아요. 사이즈는 실측 확인 추천합니다. 배송은 빨랐어요.
DEMO-0208,하이웨스트 데님 팬츠,연청 / M,4,2026-04-23,예쁘긴 한데 평소 사이즈보다 작게 나온 것 같아요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0332,경량 숏패딩,카키 / L,5,2026-04-22,가격은 조금 있지만 가벼움이 마음에 들어요. 배송은 빨랐어요.
DEMO-0189,하이웨스트 데님 팬츠,연청 / M,5,2026-04-20,하이웨스트라 허리 라인이 예쁘게 보여요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0299,베이직 롱 원피스,블랙 / M,4,2026-04-20,소재는 좋은데 밑단이 길어서 활동할 때 조심해야 해요. 포장은 깔끔했습니다.
DEMO-0098,크롭 반팔 티셔츠,아이보리 / S,5,2026-04-19,핏이 예뻐서 여름에 자주 입을 것 같아요. 다음에도 살 것 같아요.
DEMO-0101,크롭 반팔 티셔츠,민트 / M,3,2026-04-19,가격 대비 괜찮은 기본 티셔츠예요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0075,썸머 린넨 셔츠,화이트 / M,2,2026-04-19,시원한 건 좋은데 앉았다 일어나면 주름이 바로 생겨요.
DEMO-0017,데일리 와이드 슬랙스,차콜 / M,5,2026-04-19,핏이 깔끔하고 출근할 때 입기 좋아요. 원단도 생각보다 탄탄합니다. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0330,경량 숏패딩,그레이 / M,5,2026-04-19,출퇴근용으로 가볍게 입기 좋아요. 데일리로 입기 괜찮습니다.
DEMO-0194,하이웨스트 데님 팬츠,연청 / M,5,2026-04-18,하이웨스트라 허리 라인이 예쁘게 보여요. 포장은 깔끔했습니다.
DEMO-0078,썸머 린넨 셔츠,베이지 / M,3,2026-04-18,여름에 입기 좋은데 세탁 후 구김 관리가 필요해요. 상세페이지를 꼭 보고 사세요.
DEMO-0147,세미오버핏 니트 가디건,블랙 / L,4,2026-04-18,셔츠 위에 걸치기 좋고 핏도 예뻐요.
DEMO-0162,세미오버핏 니트 가디건,오트밀 / M,4,2026-04-18,소재감은 좋은데 소매 부분 보풀이 빨리 올라와요. 데일리로 입기 괜찮습니다.
DEMO-0170,세미오버핏 니트 가디건,그레이 / M,4,2026-04-18,가볍게 걸치기 좋은데 건조기 사용은 피해야 할 듯해요. 배송은 빨랐어요.
DEMO-0027,데일리 와이드 슬랙스,블랙 / S,3,2026-04-18,원단은 좋은데 생각보다 통이 넓어서 호불호 있을 듯해요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0184,하이웨스트 데님 팬츠,중청 / M,4,2026-04-17,하이웨스트라 허리 라인이 예쁘게 보여요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0130,크롭 반팔 티셔츠,핑크 / M,2,2026-04-17,몇 번 빨았더니 목 부분이 살짝 늘어났어요.
DEMO-0065,썸머 린넨 셔츠,화이트 / M,5,2026-04-17,휴가룩으로 입기 좋고 핏도 자연스러워요. 데일리로 입기 괜찮습니다.
DEMO-0036,데일리 와이드 슬랙스,베이지 / M,3,2026-04-17,바지는 예쁜데 허리가 남아서 한 치수 작게 가도 됐을 듯해요.
DEMO-0237,루즈핏 후드 집업,멜란지 / L,4,2026-04-16,품이 넉넉해서 레이어드하기 편해요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0035,데일리 와이드 슬랙스,베이지 / M,2,2026-04-16,출근룩으로 좋은데 키 작은 분들은 기장 확인 필요할 것 같아요. 포장은 깔끔했습니다.
DEMO-0216,하이웨스트 데님 팬츠,연청 / S,2,2026-04-15,입으면 예쁜데 처음엔 너무 타이트해서 불편했어요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0165,세미오버핏 니트 가디건,오트밀 / M,3,2026-04-15,처음엔 좋았는데 몇 번 입으니 밑단이 조금 늘어났어요. 배송은 빨랐어요.
DEMO-0161,세미오버핏 니트 가디건,그레이 / M,4,2026-04-15,핏은 마음에 드는데 세탁 후 살짝 늘어난 느낌이 있어요. 포장은 깔끔했습니다.
DEMO-0231,루즈핏 후드 집업,네이비 / L,5,2026-04-15,품이 넉넉해서 레이어드하기 편해요. 다음에도 살 것 같아요.
DEMO-0042,데일리 와이드 슬랙스,블랙 / S,2,2026-04-15,허리가 많이 커서 흘러내려요. 사이즈 선택이 어려웠습니다.
DEMO-0029,데일리 와이드 슬랙스,네이비 / L,3,2026-04-15,출근룩으로 좋은데 키 작은 분들은 기장 확인 필요할 것 같아요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0215,하이웨스트 데님 팬츠,진청 / L,4,2026-04-14,예쁘긴 한데 평소 사이즈보다 작게 나온 것 같아요. 포장은 깔끔했습니다.
DEMO-0061,썸머 린넨 셔츠,네이비 / L,4,2026-04-14,통기성이 좋아서 더운 날에도 답답하지 않았어요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0072,썸머 린넨 셔츠,스카이블루 / M,4,2026-04-14,여름에 입기 좋은데 세탁 후 구김 관리가 필요해요. 상세페이지를 꼭 보고 사세요.
DEMO-0163,세미오버핏 니트 가디건,브라운 / L,4,2026-04-14,색은 예쁜데 관리가 쉬운 옷은 아닌 것 같아요. 데일리로 입기 괜찮습니다.
DEMO-0305,베이직 롱 원피스,카키 / M,4,2026-04-14,소재는 좋은데 밑단이 길어서 활동할 때 조심해야 해요.
DEMO-0327,경량 숏패딩,아이보리 / M,3,2026-04-14,색감이 깔끔하고 여러 바지랑 잘 맞아요.
DEMO-0198,하이웨스트 데님 팬츠,중청 / M,5,2026-04-13,원단이 탄탄해서 핏이 잘 잡혀요.
DEMO-0049,썸머 린넨 셔츠,화이트 / M,4,2026-04-13,린넨 느낌이 자연스러워서 마음에 들어요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0155,세미오버핏 니트 가디건,블랙 / L,5,2026-04-13,세미오버핏이라 여리여리하게 떨어져요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0246,루즈핏 후드 집업,멜란지 / M,5,2026-04-13,루즈핏이라 편하고 캐주얼하게 입기 좋습니다. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0040,데일리 와이드 슬랙스,차콜 / M,3,2026-04-13,생각보다 통이 너무 넓어서 제 체형에는 안 맞았어요.
DEMO-0024,데일리 와이드 슬랙스,블랙 / M,5,2026-04-13,비싸긴 해도 핏이 좋아서 돈값은 하는 것 같아요. 배송은 빨랐어요.
DEMO-0318,경량 숏패딩,블랙 / L,5,2026-04-13,출퇴근용으로 가볍게 입기 좋아요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0153,세미오버핏 니트 가디건,브라운 / L,4,2026-04-12,셔츠 위에 걸치기 좋고 핏도 예뻐요.
DEMO-0311,베이직 롱 원피스,카키 / M,2,2026-04-12,밑단 마감이 살짝 울어서 아쉬웠습니다.
DEMO-0081,썸머 린넨 셔츠,스카이블루 / M,5,2026-04-11,시원한 건 좋은데 앉았다 일어나면 주름이 바로 생겨요. 배송은 빨랐어요.
DEMO-0164,세미오버핏 니트 가디건,그레이 / M,2,2026-04-11,가볍게 걸치기 좋은데 건조기 사용은 피해야 할 듯해요. 데일리로 입기 괜찮습니다.
DEMO-0177,세미오버핏 니트 가디건,브라운 / L,2,2026-04-11,하루 입었는데 보풀이 바로 올라왔어요.
DEMO-0274,베이직 롱 원피스,카키 / M,3,2026-04-11,핏이 예쁘고 허리선이 자연스럽게 잡혀요. 다음에도 살 것 같아요.
DEMO-0271,베이직 롱 원피스,블랙 / M,4,2026-04-11,라인이 깔끔하고 하나만 입어도 차려입은 느낌이에요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0053,썸머 린넨 셔츠,베이지 / M,4,2026-04-10,원단이 얇고 시원해서 여름에 입기 좋아요. 포장은 깔끔했습니다.
DEMO-0296,베이직 롱 원피스,블랙 / S,3,2026-04-10,키 160 기준 발목까지 와서 수선 고민 중이에요. 데일리로 입기 괜찮습니다.
DEMO-0253,루즈핏 후드 집업,멜란지 / M,5,2026-04-10,편하게 입기는 좋은데 사진보다 더 박시한 느낌이에요. 배송은 빨랐어요.
DEMO-0339,경량 숏패딩,블랙 / M,5,2026-04-10,색감이 깔끔하고 여러 바지랑 잘 맞아요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0205,하이웨스트 데님 팬츠,블랙 / L,4,2026-04-09,한여름말고는 입기 좋을거같아요 아 근데 제가 바지32정도 입는데 2사이즈는 너무딱맞네요 크게 3사이즈갈걸 그랬나봐요
DEMO-0084,썸머 린넨 셔츠,베이지 / M,2,2026-04-09,구김이 너무 잘 생겨서 관리가 번거롭습니다.
DEMO-0083,썸머 린넨 셔츠,화이트 / L,2,2026-04-09,생각보다 비침이 심해서 단독으로 입기 어려워요.
DEMO-0159,세미오버핏 니트 가디건,오트밀 / M,4,2026-04-09,셔츠 위에 걸치기 좋고 핏도 예뻐요. 포장은 깔끔했습니다.
DEMO-0278,베이직 롱 원피스,블랙 / S,5,2026-04-09,원단이 부드럽고 몸에 붙지 않아서 편해요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0245,루즈핏 후드 집업,멜란지 / M,5,2026-04-09,두께감이 적당해서 아침저녁에 걸치기 좋아요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0257,루즈핏 후드 집업,블랙 / M,4,2026-04-09,루즈핏은 예쁜데 소매가 길어서 접어 입고 있어요.
DEMO-0013,데일리 와이드 슬랙스,블랙 / S,4,2026-04-09,색감이 차분해서 여러 상의랑 잘 어울려요. 배송은 빨랐어요.
DEMO-0112,크롭 반팔 티셔츠,아이보리 / S,5,2026-04-08,소재가 부드럽고 피부에 까슬거리지 않아요. 배송은 빨랐어요.
DEMO-0129,크롭 반팔 티셔츠,블랙 / L,1,2026-04-08,아이보리가 생각보다 노란빛이 강해서 아쉬워요.
DEMO-0157,세미오버핏 니트 가디건,크림 / M,4,2026-04-08,색감이 고급스럽고 사진이랑 거의 비슷했어요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0244,루즈핏 후드 집업,블랙 / M,5,2026-04-08,넉넉하게 입기 좋고 후드 모양도 잘 잡혀요. 데일리로 입기 괜찮습니다.
DEMO-0254,루즈핏 후드 집업,멜란지 / M,3,2026-04-08,"넉넉한 핏 좋아하면 추천, 아니면 작게 가는 게 나을 것 같아요. 포장은 깔끔했습니다."
DEMO-0316,경량 숏패딩,아이보리 / M,5,2026-04-08,가벼운데 생각보다 따뜻해서 만족해요.
DEMO-0199,하이웨스트 데님 팬츠,연청 / S,5,2026-04-07,하이웨스트라 허리 라인이 예쁘게 보여요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0290,베이직 롱 원피스,브라운 / M,5,2026-04-06,원단이 부드럽고 몸에 붙지 않아서 편해요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0262,루즈핏 후드 집업,블랙 / M,3,2026-04-06,편하긴 한데 생각보다 많이 커요. 정핏 원하면 한 치수 작게 가도 될 듯해요.
DEMO-0086,썸머 린넨 셔츠,베이지 / M,2,2026-04-05,배송 중 접힌 자국이 너무 심하게 남아 있었어요.
DEMO-0073,썸머 린넨 셔츠,스카이블루 / M,4,2026-04-04,색은 예쁜데 얇아서 밝은 색은 조심해야 할 것 같아요. 배송은 빨랐어요.
DEMO-0064,썸머 린넨 셔츠,네이비 / L,5,2026-04-04,가격은 조금 있지만 소재가 좋아서 만족합니다. 배송은 빨랐어요.
DEMO-0279,베이직 롱 원피스,네이비 / L,5,2026-04-04,디자인이 심플해서 자주 손이 갈 것 같아요. 다음에도 살 것 같아요.
DEMO-0238,루즈핏 후드 집업,멜란지 / L,5,2026-04-04,넉넉하게 입기 좋고 후드 모양도 잘 잡혀요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0269,루즈핏 후드 집업,멜란지 / L,3,2026-04-04,이름 그대로 루즈핏입니다. 정핏 원하면 사이즈 잘 보세요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0338,경량 숏패딩,블랙 / L,3,2026-04-04,가격은 조금 있지만 가벼움이 마음에 들어요. 다음에도 살 것 같아요.
DEMO-0214,하이웨스트 데님 팬츠,블랙 / L,3,2026-04-03,색은 마음에 드는데 앉을 때 허리가 꽉 껴요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0210,하이웨스트 데님 팬츠,연청 / S,3,2026-04-03,허리가 딱 맞아서 밥 먹으면 조금 힘들어요. 여유 있게 가는 게 좋을 듯해요. 데일리로 입기 괜찮습니다.
DEMO-0063,썸머 린넨 셔츠,화이트 / L,5,2026-04-03,린넨 느낌이 자연스러워서 마음에 들어요. 포장은 깔끔했습니다.
DEMO-0313,베이직 롱 원피스,브라운 / M,2,2026-04-03,사진보다 길고 무게감도 있어서 여름에는 답답할 수 있어요.
DEMO-0255,루즈핏 후드 집업,블랙 / M,4,2026-04-03,후드는 예쁜데 어깨가 많이 내려와서 호불호 있을 듯합니다. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0241,루즈핏 후드 집업,멜란지 / L,5,2026-04-03,안감이 부드러워서 자주 입게 됩니다. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0331,경량 숏패딩,카키 / L,5,2026-04-03,보온성 괜찮고 무게가 가벼워서 손이 자주 갑니다.
DEMO-0106,크롭 반팔 티셔츠,아이보리 / S,4,2026-04-02,소재가 부드럽고 피부에 까슬거리지 않아요.
DEMO-0060,썸머 린넨 셔츠,스카이블루 / M,5,2026-04-02,원단이 얇고 시원해서 여름에 입기 좋아요. 포장은 깔끔했습니다.
DEMO-0076,썸머 린넨 셔츠,스카이블루 / M,3,2026-04-02,시원하긴 한데 구김이 잘 가는 편이에요. 포장은 깔끔했습니다.
DEMO-0001,데일리 와이드 슬랙스,차콜 / M,2,2026-04-02,이건 완전 멋진 전투용 슬랙스임. 비싸긴 해도 돈값을 함. 핏도 마음에 들어요.
DEMO-0007,데일리 와이드 슬랙스,블랙 / S,4,2026-04-02,허리 밴딩이 편해서 오래 앉아 있어도 괜찮네요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0092,크롭 반팔 티셔츠,아이보리 / S,5,2026-04-01,핏이 예뻐서 여름에 자주 입을 것 같아요. 포장은 깔끔했습니다.
DEMO-0103,크롭 반팔 티셔츠,아이보리 / M,4,2026-04-01,크롭 기장이 딱 예쁘고 하이웨스트랑 잘 맞아요. 다음에도 살 것 같아요.
DEMO-0057,썸머 린넨 셔츠,베이지 / M,5,2026-04-01,가격은 조금 있지만 소재가 좋아서 만족합니다. 다음에도 살 것 같아요.
DEMO-0074,썸머 린넨 셔츠,화이트 / L,5,2026-04-01,가볍고 좋은데 단추 마감은 조금 아쉬워요. 상세페이지를 꼭 보고 사세요.
DEMO-0139,세미오버핏 니트 가디건,블랙 / L,4,2026-04-01,색감이 고급스럽고 사진이랑 거의 비슷했어요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0059,썸머 린넨 셔츠,네이비 / L,4,2026-03-31,생각보다 고급스러운 느낌이라 자주 입을 것 같아요. 포장은 깔끔했습니다.
DEMO-0297,베이직 롱 원피스,브라운 / M,3,2026-03-31,핏은 마음에 드는데 계단 오를 때 기장이 조금 신경 쓰여요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0251,루즈핏 후드 집업,네이비 / L,3,2026-03-31,루즈핏은 예쁜데 소매가 길어서 접어 입고 있어요. 상세페이지를 꼭 보고 사세요.
DEMO-0204,하이웨스트 데님 팬츠,중청 / M,5,2026-03-30,하이웨스트라 허리 라인이 예쁘게 보여요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0192,하이웨스트 데님 팬츠,진청 / L,5,2026-03-30,색감이 예쁘고 데일리로 입기 좋습니다. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0180,세미오버핏 니트 가디건,크림 / M,4,2026-03-30,핏은 넉넉한 편입니다. 관리 방법을 잘 봐야 할 것 같아요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0242,루즈핏 후드 집업,멜란지 / L,4,2026-03-30,가격 대비 퀄리티 좋아요. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0211,하이웨스트 데님 팬츠,연청 / M,2,2026-03-29,평소 M 입는데 이건 L도 괜찮았을 것 같아요. 배송은 빨랐어요.
DEMO-0250,루즈핏 후드 집업,크림 / M,3,2026-03-29,허리가 너무 커서 흘러내려요. 한 치수 작게 살 걸 그랬어요.
DEMO-0326,경량 숏패딩,블랙 / L,3,2026-03-29,가격은 조금 있지만 가벼움이 마음에 들어요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0054,썸머 린넨 셔츠,화이트 / M,5,2026-03-28,통기성이 좋아서 더운 날에도 답답하지 않았어요. 배송은 빨랐어요.
DEMO-0187,하이웨스트 데님 팬츠,연청 / S,4,2026-03-26,색감이 예쁘고 데일리로 입기 좋습니다. 데일리로 입기 괜찮습니다.
DEMO-0051,썸머 린넨 셔츠,스카이블루 / M,3,2026-03-26,휴가룩으로 입기 좋고 핏도 자연스러워요. 포장은 깔끔했습니다.
DEMO-0016,데일리 와이드 슬랙스,블랙 / M,4,2026-03-26,비싸긴 해도 핏이 좋아서 돈값은 하는 것 같아요. 상세페이지를 꼭 보고 사세요.
DEMO-0319,경량 숏패딩,아이보리 / M,5,2026-03-26,보온성 괜찮고 무게가 가벼워서 손이 자주 갑니다. 상세페이지를 꼭 보고 사세요.
DEMO-0220,하이웨스트 데님 팬츠,진청 / L,2,2026-03-25,허리랑 골반이 너무 꽉 맞아서 반품 고민했어요.
DEMO-0050,썸머 린넨 셔츠,네이비 / L,5,2026-03-25,가격은 조금 있지만 소재가 좋아서 만족합니다. 데일리로 입기 괜찮습니다.
DEMO-0069,썸머 린넨 셔츠,베이지 / M,4,2026-03-25,색감이 은은하고 청바지랑 잘 어울립니다. 사이즈 고민 많이 했는데 참고하세요.
DEMO-0280,베이직 롱 원피스,블랙 / M,5,2026-03-25,핏이 예쁘고 허리선이 자연스럽게 잡혀요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0308,베이직 롱 원피스,블랙 / M,2,2026-03-25,기장이 너무 길어서 바로 입기 어려웠어요.
DEMO-0012,데일리 와이드 슬랙스,블랙 / M,5,2026-03-25,구김이 생각보다 덜하고 하루 종일 입어도 편했어요. 색상은 조명에 따라 조금 달라 보여요.
DEMO-0328,경량 숏패딩,아이보리 / M,5,2026-03-25,가벼운데 생각보다 따뜻해서 만족해요. 배송은 빨랐어요.
DEMO-0207,하이웨스트 데님 팬츠,중청 / M,3,2026-03-24,색은 마음에 드는데 앉을 때 허리가 꽉 껴요. 상세페이지를 꼭 보고 사세요.
DEMO-0193,하이웨스트 데님 팬츠,진청 / L,5,2026-03-24,원단이 탄탄해서 핏이 잘 잡혀요. 다음에도 살 것 같아요.
DEMO-0070,썸머 린넨 셔츠,화이트 / M,3,2026-03-24,시원하긴 한데 구김이 잘 가는 편이에요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0089,썸머 린넨 셔츠,화이트 / L,3,2026-03-24,린넨 셔츠라 구김은 어느 정도 감안해야 할 것 같아요.
DEMO-0268,루즈핏 후드 집업,네이비 / L,2,2026-03-24,소매가 길고 품이 커서 제 체형에는 안 맞았어요.
DEMO-0323,경량 숏패딩,카키 / L,5,2026-03-24,부해 보이지 않고 짧은 기장이 예뻐요. 포장은 깔끔했습니다.
DEMO-0222,하이웨스트 데님 팬츠,연청 / M,2,2026-03-23,너무 작게 나왔어요. 허벅지가 껴서 활동하기 불편합니다.
DEMO-0091,크롭 반팔 티셔츠,민트 / M,5,2026-03-23,크롭 기장이 딱 예쁘고 하이웨스트랑 잘 맞아요. 실제로 받아보니 느낌이 더 잘 와요.
DEMO-0056,썸머 린넨 셔츠,스카이블루 / M,4,2026-03-23,린넨 느낌이 자연스러워서 마음에 들어요. 배송은 빨랐어요.
DEMO-0310,베이직 롱 원피스,브라운 / M,2,2026-03-23,허리선이 애매해서 제 체형에는 부해 보였어요.
DEMO-0321,경량 숏패딩,카키 / L,5,2026-03-23,색감이 깔끔하고 여러 바지랑 잘 맞아요. 상세페이지를 꼭 보고 사세요.
DEMO-0046,썸머 린넨 셔츠,베이지 / M,3,2026-03-22,원단이 얇고 시원해서 여름에 입기 좋아요. 다음에도 살 것 같아요.
DEMO-0292,베이직 롱 원피스,네이비 / L,4,2026-03-22,핏이 예쁘고 허리선이 자연스럽게 잡혀요. 데일리로 입기 괜찮습니다.
DEMO-0037,데일리 와이드 슬랙스,블랙 / S,4,2026-03-22,핏은 예쁜데 허리가 살짝 커요. 벨트하면 괜찮습니다. 다음에도 살 것 같아요.
DEMO-0301,베이직 롱 원피스,블랙 / S,3,2026-03-21,디자인은 예쁜데 기장이 생각보다 길어요. 상세페이지를 꼭 보고 사세요.
DEMO-0020,데일리 와이드 슬랙스,베이지 / M,4,2026-03-21,구김이 생각보다 덜하고 하루 종일 입어도 편했어요. 다음에도 살 것 같아요.
DEMO-0009,데일리 와이드 슬랙스,차콜 / M,5,2026-03-21,핏이 깔끔하고 출근할 때 입기 좋아요. 원단도 생각보다 탄탄합니다. 다음에도 살 것 같아요.
DEMO-0111,크롭 반팔 티셔츠,핑크 / M,5,2026-03-19,목 늘어짐이 적어 보여서 좋습니다.
DEMO-0058,썸머 린넨 셔츠,스카이블루 / M,5,2026-03-19,휴가룩으로 입기 좋고 핏도 자연스러워요.
DEMO-0062,썸머 린넨 셔츠,네이비 / L,5,2026-03-19,색감이 은은하고 청바지랑 잘 어울립니다. 배송은 빨랐어요.
DEMO-0149,세미오버핏 니트 가디건,크림 / M,5,2026-03-19,세미오버핏이라 여리여리하게 떨어져요. 데일리로 입기 괜찮습니다.
DEMO-0015,데일리 와이드 슬랙스,베이지 / M,5,2026-03-19,허리 밴딩이 편해서 오래 앉아 있어도 괜찮네요. 포장은 깔끔했습니다.
DEMO-0325,경량 숏패딩,블랙 / L,4,2026-03-19,보온성 괜찮고 무게가 가벼워서 손이 자주 갑니다. 포장은 깔끔했습니다.
DEMO-0185,하이웨스트 데님 팬츠,진청 / L,4,2026-03-18,가격대비 데님 퀄리티가 괜찮아요. 상세페이지를 꼭 보고 사세요.
DEMO-0102,크롭 반팔 티셔츠,민트 / M,4,2026-03-18,팔 기장이 너무 짧지 않아서 부담 없이 입기 좋아요. 사이즈 고민 많이 했는데 참고하세요.
